 Sample   Time     Commanded 1 Pos   Commanded 2 Pos  Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Encoder 4 Pos   Control Effort 1  Control Effort 2
    93    1.647               0               0            -297               0             -24               0         -1.0516         -0.1969;
    94    1.665               0               0            -309               0             -18               0         -0.7454         -0.0788;
    95    1.682               0               0            -321               0             -12               0         -0.1328         -0.0791;
    96    1.700               0               0            -333              -1              -5               0         -0.0079          0.0556;
    97    1.718               0               0            -344              -1              -1               0          0.3788         -0.0623;
    98    1.735               0               0            -353              -1               3               0          0.5400         -0.0623;
    99    1.753               0               0            -361              -1               4               0          0.4130         -0.0620;
   100    1.771               0               0            -367              -1               5               0          0.3507         -0.0620;
   101    1.789               0               0            -372              -1               5               0          0.3202         -0.0620;
   102    1.806               0               0            -376              -1               4               0          0.3202         -0.0620;
   103    1.824               0               0            -378              -1              -0               0         -0.2821         -0.0620;
   104    1.842               0               0            -380              -1              -4               0         -0.5763         -0.0620;
   105    1.859               0               0            -381               0              -8               0         -0.8565         -0.1966;
   106    1.877               0               0            -383              -1             -12               0         -1.0760         -0.1966;
   107    1.895               0               0            -386              -1             -16               0         -1.2836          0.0559;
   108    1.913               0               0            -389              -1             -19               0         -1.4930          0.0559;
   109    1.930               0               0            -394               0             -20               0         -1.3782         -0.1966;
   110    1.948               0               0            -399              -1             -21               0         -1.3620         -0.1966;
   111    1.966               0               0            -406               0             -21               0         -1.3962         -0.0788;
   112    1.983               0               0            -413               0             -21               0         -1.3538          0.0559;
